CS135501,Introduction to Programming (I),53
CS135502,Introduction to Programming (I),52
CS135600,Introduction to Programming (II),20
CS233601,Discrete Mathematics,Kai Hon Wing
CS233602,Discrete Mathematics,Kei Mak Wai
CS135701,Intro. to Computer Systems & Applications,Tzu-Wei Huang
CS135702,Intro. to Computer Systems & Applications,66
CS210401,Hardware Design and Lab.,24
CS210402,Hardware Design and Lab.,18
CS233401,Linear Algebra,9
CS233402,Linear Algebra,14
CS235101,Data Structures,58
CS235102,Data Structures,54
CS321201,Introduction to Computer Networks,46
CS321202,Introduction to Computer Networks,5
CS333401,Engineering Mathematics,4
CS333402,Engineering Mathematics,44
CS423500,Introduction to Internet of Things,5
CS531900,Advanced Discrete Structure,Kai Hon Wing
CS546000,Software Project Management,Ching-Yu Huang
CS342301,Operating Systems,23
CS342302,Operating Systems,Pai-Hsiang Chou
CS410000,Computer Architecture,Ting-Ting Hwang
CS431101,Design and Analysis of Algorithms,8
CS431102,Design and Analysis of Algorithms,45
CS312000,Introduction of Integrated Circuit Design,10
CS314000,Introduction to Analog Circuit Design,3
CS330500,Cryptography and Network Security,12
CS333000,Scientific Computing,55
CS337100,Formal Language,Hotsung-Yi
CS343300,Competitive Programming Training,20
CS410100,Introduction to Embedded Systems,7
CS412500,Digital System Design,18
CS452000,Introduction to Image Processing,Chiu-Ting Hsu
CS460100,Introduction to Intelligent Computing,6
CS460200,Introduction to Machine Learning,34
CS513200,Deep Learning Hardware Accelerator Design,Youn-Long Lin
CS531600,Approximation Algorithms,14
CS550300,Introduction to Game Programming,56
CS565600,Deep Learning,21
CS515100,Introduction to System-on-Chip and its Applications,49
CS518300,"SystemC,Behavior Coding and Modeling",Su Alan Peisheng
CS531300,Computing Biology,Lung Lu Chin
CS538100,Applied Mathematical Logic,50
CS542200,Parallel Programming,23
CS573300,Big Data Technology and Applications,"['Bor-Ren Jeng', 'Che-Rung Lee']"
CS513100,Design Automation of Emerging Technologies,Hotsung-Yi
CS517000,Digital Television,Lon-Rong Hu
CS524000,Wireless Network,45
CS524500,Broadband Mobile Communications,54
CS533200,Discrete-Event Simulation,46
CS537100,Theory of Computation,43
CS540500,Compilers for Embedded Systems,42
CS542500,Real-Time System Designs,43
CS546600,Software Analysis and Design Methods,64
CS565100,Machine Learning,"['Jerry Chou', 'Da-Cheng Juan']"
CS591300,Academic Research Writing,Liang-Pei Chen
CS631200,Parallel Algorithm Design,8
CS655000,Computer Vision,1
CS742900,Special Topic on Embedded System Design,43
CS591000,Seminar,"['Cheng-Hsin Hsu', 'Tsung-Yi Ho']"
